Ref,Val,Package,PosX,PosY,Rot,Side
"R1","470","R_0805_2012Metric",171.196000,-108.966000,180.000000,top
"R2","470","R_0805_2012Metric",171.196000,-98.806000,0.000000,top
"R3","470","R_0805_2012Metric",171.196000,-103.886000,0.000000,top
